What level of spiritual maturity would you say that you are at?,How much of the Bible would you say that you have read?,How many days do you read the Bible in an average week?,How much of the Bible would you say that you have memorized?,Does baptism determine salvation? ,Is there one God with two persons?,Will everybody eventually go to heaven?,Was Jesus raised from the dead?,Was the curse of sin laid on Jesus on the cross?,Gentleness,Kindness ,Joyfulness,Patience,Compassion,Forgiveness,Empathy,Self control,Bible Knowledge
6,10,7,10,No,No,No,Yes,Yes,5,5,5,5,5,5,5,5,30
6,10,7,10,No,No,No,Yes,Yes,5,5,5,5,5,5,5,5,30
6,10,7,10,No,No,No,Yes,Yes,5,5,5,5,5,5,5,5,30
5,8,4,8,No,No,No,Yes,Yes,4.4,4.4,3.7,4.9,4.8,4.63,3.8,3.18,20
5,8,7,5,No,No,No,Yes,Yes,3.3,4.1,3.1,3.9,4.9,4.25,3.8,3.55,20
5,7,4,3,No,No,No,Yes,Yes,4.1,3.9,4.3,4.4,4,3.88,2.8,4.82,14
5,10,7,3,No,No,No,Yes,Yes,3.5,4.2,2.6,3.1,5,3.88,4.5,4.18,20
5,10,7,7,No,No,No,Yes,Yes,4.3,4.4,4.3,3.8,4.8,5,4.1,3.27,24
5,8,7,4,No,No,No,Yes,Yes,3.3,4.4,3.2,2.8,4,3.25,3.1,3.64,19
5,9,7,5,No,No,No,Yes,Yes,4,4.4,4.5,3.8,4.6,5,4,3.82,21
4,10,5,5,No,No,No,Yes,Yes,3.8,4.3,3.9,3.7,5,4.13,3.9,4.27,20
4,10,5,5,No,No,No,Yes,Yes,2.9,3.5,4,2.8,4.2,4.13,3,4,20
4,7,3,1,No,No,No,Yes,Yes,3.9,4.1,4.2,4.5,4.1,3.75,4.6,3.45,11
4,10,6,7,No,No,No,Yes,Yes,3.3,3.9,3.7,4,4,3,3,3.73,23
4,3,2,5,No,No,No,Yes,Yes,3.9,3.8,3.9,3.9,4.3,3.38,4.5,3.73,10
4,8,6,4,No,No,No,Yes,Yes,3.4,4.2,4.1,2.6,3.2,3.75,2.4,2.82,18
4,8,7,6,No,No,No,Yes,Yes,2.9,2.8,3.3,3.4,3.2,3.63,2.2,3.82,21
4,7,3,5,No,No,No,Yes,Yes,3.3,4.8,4.5,3.7,3.8,3.5,2.1,3.73,15
4,8,2,10,No,No,No,Yes,Yes,4.4,4.1,4.2,4.4,4.2,3.5,2.6,4,20
4,9,2,6,No,No,No,Yes,Yes,4.3,4.6,3.1,3.7,4.2,2.88,2.7,3.55,17
4,9,4,6,No,No,No,Yes,Yes,3.4,4.1,3.6,3.6,3.9,3.75,4.1,2.64,19
4,5,2,3,No,No,No,Yes,Yes,3.4,4.2,3.8,3.1,4.9,3.88,3.1,2.91,10
4,9,3,4,No,No,No,Yes,Yes,3.7,3.5,3.4,2.9,4.9,3.75,4.7,3.73,16
4,9,2,9,No,No,No,Yes,Yes,3.4,3.2,3.8,3.7,4.4,3.63,3.7,2.91,20
4,8,4,5,No,No,No,Yes,Yes,4.4,4.2,3.9,4.6,4.7,4.25,3.2,3.36,17
4,10,7,2,No,No,No,Yes,Yes,3.3,4.5,3.4,3.6,4.3,4,3.6,3.27,19
4,6,6,5,No,No,No,Yes,Yes,2.9,4.5,4.6,4.1,4.6,4.63,4.6,4.09,17
4,9,7,3,No,No,No,Yes,Yes,3.6,4.1,4.1,3.5,4.4,3.88,4.8,3.27,19
4,7,3,6,No,No,No,Yes,Yes,3.5,4.1,3.6,2.6,4.8,3.25,3.9,2.91,16
4,9,6,4,No,No,No,Yes,Yes,4.1,4.3,4.1,4.2,4.6,4.25,3.9,3.73,19
4,8,5,5,No,No,No,Yes,Yes,3.5,4.2,3.5,3.7,4.3,3.75,4.2,3.45,18
4,10,6,3,No,No,No,Yes,Yes,3.8,3.7,3.3,4.5,4.2,4.5,2.3,4.18,19
3,6,3,1,No,No,No,Yes,Yes,2,3.8,2.5,2.6,4.2,3,4.1,2.27,10
4,8,7,6,No,No,No,Yes,Yes,3.8,4.2,3.8,4.1,4.5,4.25,3.8,3.82,21
4,6,2,3,No,No,No,Yes,Yes,3.9,4.6,4.5,4,4.9,4.25,4.1,3.55,11
4,8,4,3,No,No,No,Yes,Yes,3.5,4.3,3.5,3,4.7,2.75,4.8,2.73,15
4,9,2,3,No,No,No,Yes,Yes,3,3.2,3.7,2.9,4.4,3.25,5,3.18,14
4,8,7,5,No,No,No,Yes,Yes,3.9,4.6,4.4,4.2,4.8,4.38,4.6,3.82,20
4,7,3,2,No,No,No,Yes,Yes,4.1,4.1,4.1,4.1,4.5,4.25,3.6,3.55,12
4,9,4,3,No,No,No,Yes,Yes,3.1,3.1,3.2,2.9,3.7,2.88,2.9,2.55,16
4,5,3,3,No,No,No,Yes,Yes,4.1,3.7,4.7,3.7,3.1,3.88,3.1,3.55,11
4,2,2,1,No,No,No,Yes,Yes,4.2,3.8,3.6,4.2,4,3,2.8,3.36,5
4,8,1,1,No,No,No,Yes,Yes,2.6,3.5,2.7,2.2,4,3.25,3.8,2.18,10
4,5,5,2,No,No,No,Yes,Yes,3.2,3.2,3.1,3.6,3.5,3,2.6,2.64,12
4,8,7,10,No,No,No,Yes,Yes,4,3.9,4.1,4.4,3.1,3.88,1.9,4.18,25
4,10,6,7,No,No,No,Yes,Yes,3.9,4.5,3.9,4.1,4.5,3.5,3.5,3.18,23
4,10,5,8,No,No,No,Yes,Yes,4.4,4,3.9,5,4.5,4.38,4.1,2.82,23
4,8,4,10,No,No,No,Yes,No,3.4,3.9,2.4,2.9,4.5,3.5,4.7,3.27,22
4,7,5,3,No,No,No,Yes,Yes,3,4.1,2.8,3.1,4.2,3,3.6,3.45,15
3,9,4,3,No,No,No,Yes,Yes,3.4,4.6,4.1,2.8,4.8,4.75,4.6,3.36,16
4,7,4,1,No,No,No,Yes,Yes,3.2,3.7,3.4,4.3,4.1,3.75,3.8,4.55,12
4,8,1,1,No,No,No,Yes,Yes,4.7,4.6,3.6,4.4,4.7,3.5,2.5,3.45,10
3,8,1,1,No,No,No,Yes,Yes,2.6,3.5,2.7,2.2,4,3.25,3.8,2.18,10
3,3,2,3,No,No,No,Yes,Yes,3.5,3.4,3.8,3.9,4,3.63,3.3,3.18,8
